id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4714,Kepler-388 b,425,0.457 Earths,15.218,2014,https://science.nasa.gov/exoplanet-catalog/kepler-388-b/
4715,Kepler-387 c,801.052,0.64 Earths,14.129,2014,https://science.nasa.gov/exoplanet-catalog/kepler-387-c/
4716,Kepler-387 b,801.052,1.08 Earths,14.129,2014,https://science.nasa.gov/exoplanet-catalog/kepler-387-b/
4717,Kepler-386 b,882.462,2.51 Earths,15.949,2014,https://science.nasa.gov/exoplanet-catalog/kepler-386-b/
4718,Kepler-385 c,1432.61,13.2 Earths,15.76,2014,https://science.nasa.gov/exoplanet-catalog/kepler-385-c/
4719,Kepler-385 b,1432.61,12.8 Earths,15.76,2014,https://science.nasa.gov/exoplanet-catalog/kepler-385-b/
4720,Kepler-384 c,895.678,1.51 Earths,13.734,2014,https://science.nasa.gov/exoplanet-catalog/kepler-384-c/
4721,Kepler-383 b,470,2.3 Earths,15.473,2014,https://science.nasa.gov/exoplanet-catalog/kepler-383-b/
4722,Kepler-382 c,935.446,3.15 Earths,14.907,2014,https://science.nasa.gov/exoplanet-catalog/kepler-382-c/
4723,Kepler-381 c,267.323,1.46 Earths,10.47,2014,https://science.nasa.gov/exoplanet-catalog/kepler-381-c/
4724,Kepler-237 b,657.822,2.57 Earths,15.689,2014,https://science.nasa.gov/exoplanet-catalog/kepler-237-b/
4725,Kepler-236 b,288.763,3.09 Earths,16.014,2014,https://science.nasa.gov/exoplanet-catalog/kepler-236-b/
4726,Kepler-235 e,428.018,5.56 Earths,16.567,2014,https://science.nasa.gov/exoplanet-catalog/kepler-235-e/
4727,Kepler-235 d,428.018,4.86 Earths,16.567,2014,https://science.nasa.gov/exoplanet-catalog/kepler-235-d/
4728,Kepler-235 b,428.018,5.6 Earths,16.567,2014,https://science.nasa.gov/exoplanet-catalog/kepler-235-b/
4729,Kepler-234 c,1733.1,12.1 Earths,15.747,2014,https://science.nasa.gov/exoplanet-catalog/kepler-234-c/
4730,Kepler-234 b,1733.1,13.2 Earths,15.747,2014,https://science.nasa.gov/exoplanet-catalog/kepler-234-b/
4731,Kepler-233 b,856.417,6.48 Earths,15.477,2014,https://science.nasa.gov/exoplanet-catalog/kepler-233-b/
4732,Kepler-232 c,1349.13,14 Earths,15.565,2014,https://science.nasa.gov/exoplanet-catalog/kepler-232-c/
4733,Kepler-232 b,1349.13,9.69 Earths,15.565,2014,https://science.nasa.gov/exoplanet-catalog/kepler-232-b/
